name,eval_task_name,model_name,task_name,epochs,batch_size,learning_rate,weight_decay,warmup_steps,max_seq_length,do_lower_case,training_time,accuracy,eval_time,z_amb_precision,z_amb_recall,z_amb_f1-score,z_amb_support,z_minus_m_precision,z_minus_m_recall,z_minus_m_f1-score,z_minus_m_support,z_plus_m_precision,z_plus_m_recall,z_plus_m_f1-score,z_plus_m_support,z_zero_precision,z_zero_recall,z_zero_f1-score,z_zero_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,model_size,memory,parameters
multiemo_en_Nhotels_sentence-run-1,multiemo_en_hotels_sentence,bert-base-uncased,multiemo_en_Nhotels_sentence,4,16,5e-05,0.01,0,128,True,847.189247,0.7436619718309859,5.010391,0.5789473684210527,0.3832752613240418,0.46121593291404617,287,0.8263052208835341,0.7967086156824782,0.8112370625924099,1033,0.7808398950131233,0.8218232044198895,0.8008075370121132,724,0.595903165735568,0.7256235827664399,0.65439672801636,441,0.6954989125133195,0.6818576660482123,0.6819143151337322,2485,0.74360264305369,0.7436619718309859,0.7399398278697285,2485,438025389,437945360,109485316
multiemo_en_Nhotels_sentence-run-2,multiemo_en_hotels_sentence,bert-base-uncased,multiemo_en_Nhotels_sentence,4,16,5e-05,0.01,0,128,True,846.831777,0.7235412474849094,4.976712,0.6453488372093024,0.3867595818815331,0.4836601307189543,287,0.852017937219731,0.7357212003872217,0.7896103896103897,1033,0.7795698924731183,0.8011049723756906,0.7901907356948229,724,0.5125553914327917,0.7868480725623582,0.6207513416815742,441,0.6973730145837358,0.6776084568017009,0.6710531494264353,2485,0.7467988632593362,0.7235412474849094,0.7244778367438626,2485,438025389,437945360,109485316
multiemo_en_Nhotels_sentence-run-3,multiemo_en_hotels_sentence,bert-base-uncased,multiemo_en_Nhotels_sentence,4,16,5e-05,0.01,0,128,True,845.867403,0.7368209255533199,4.957341,0.49146757679180886,0.5017421602787456,0.496551724137931,287,0.8671963677639046,0.739593417231365,0.7983281086729362,1033,0.7779204107830552,0.8370165745856354,0.8063872255489022,724,0.5958646616541353,0.7188208616780045,0.6515930113052416,441,0.683112254248226,0.6992932534434376,0.6882150174162528,2485,0.7496401350646955,0.7368209255533199,0.7397827566880265,2485,438025389,437945360,109485316
multiemo_en_Nhotels_sentence-run-4,multiemo_en_hotels_sentence,bert-base-uncased,multiemo_en_Nhotels_sentence,4,16,5e-05,0.01,0,128,True,848.025164,0.7613682092555332,4.953545,0.6150627615062761,0.5121951219512195,0.55893536121673,287,0.8286270691333982,0.8238141335914811,0.8262135922330096,1033,0.8091922005571031,0.8024861878453039,0.8058252427184466,724,0.624750499001996,0.7097505668934241,0.6645435244161358,441,0.7194081325496933,0.7120615025703572,0.7138794301460806,2485,0.7621186713200502,0.7613682092555332,0.7607139877028457,2485,438025389,437945360,109485316
multiemo_en_Nhotels_sentence-run-5,multiemo_en_hotels_sentence,bert-base-uncased,multiemo_en_Nhotels_sentence,4,16,5e-05,0.01,0,128,True,843.97142,0.7484909456740443,4.979802,0.5604395604395604,0.5331010452961672,0.5464285714285714,287,0.8803131991051454,0.7618586640851888,0.816813700051894,1033,0.7623888182973316,0.8287292817679558,0.7941760423560557,724,0.6026365348399246,0.7256235827664399,0.6584362139917695,441,0.7014445281704905,0.7123281434789379,0.7039636319570727,2485,0.7597351729712047,0.7484909456740443,0.7508842564143907,2485,438025389,437945360,109485316
multiemo_en_Nmedicine_sentence-run-1,multiemo_en_medicine_sentence,bert-base-uncased,multiemo_en_Nmedicine_sentence,4,16,5e-05,0.01,0,128,True,872.008042,0.6905077262693157,5.00175,0.29411764705882354,0.32679738562091504,0.30959752321981426,153,0.6025390625,0.8739376770538244,0.7132947976878613,706,0.7690631808278867,0.6814671814671814,0.7226202661207778,518,0.8888888888888888,0.6126126126126126,0.7253333333333333,888,0.6386521948188998,0.6237037141886334,0.6177114800904467,2265,0.7320532623078051,0.6905077262693157,0.6928776362343597,2265,438025389,437945360,109485316
multiemo_en_Nmedicine_sentence-run-2,multiemo_en_medicine_sentence,bert-base-uncased,multiemo_en_Nmedicine_sentence,4,16,5e-05,0.01,0,128,True,870.659916,0.6313465783664459,4.905966,0.21763085399449036,0.5163398692810458,0.30620155038759694,153,0.6244292237442922,0.7747875354107648,0.6915297092288243,706,0.6746575342465754,0.7606177606177607,0.7150635208711434,518,0.9276018099547512,0.4617117117117117,0.6165413533834586,888,0.6110798554850272,0.6283642192553207,0.5823340334677558,2265,0.7272969371320849,0.6313465783664459,0.6414836368832741,2265,438025389,437945360,109485316
multiemo_en_Nmedicine_sentence-run-3,multiemo_en_medicine_sentence,bert-base-uncased,multiemo_en_Nmedicine_sentence,4,16,5e-05,0.01,0,128,True,871.97633,0.6746136865342164,4.90581,0.2445141065830721,0.5098039215686274,0.3305084745762712,153,0.6457286432160804,0.7280453257790368,0.6844207723035951,706,0.7885985748218527,0.640926640926641,0.7071352502662406,518,0.8285322359396433,0.6801801801801802,0.7470624613481757,888,0.6268433901401621,0.6397390171136214,0.6172817396235707,2265,0.7229694338586693,0.6746136865342164,0.6902677206055631,2265,438025389,437945360,109485316
multiemo_en_Nmedicine_sentence-run-4,multiemo_en_medicine_sentence,bert-base-uncased,multiemo_en_Nmedicine_sentence,4,16,5e-05,0.01,0,128,True,870.760029,0.6600441501103753,4.907882,0.24925816023738873,0.5490196078431373,0.3428571428571429,153,0.6394230769230769,0.7535410764872521,0.6918075422626788,706,0.7254098360655737,0.6833976833976834,0.7037773359840953,518,0.8634868421052632,0.5912162162162162,0.7018716577540106,888,0.6193944788328256,0.6442936459860722,0.610078419714482,2265,0.7205773958920324,0.6600441501103753,0.6749191875584623,2265,438025389,437945360,109485316
multiemo_en_Nmedicine_sentence-run-5,multiemo_en_medicine_sentence,bert-base-uncased,multiemo_en_Nmedicine_sentence,4,16,5e-05,0.01,0,128,True,871.25425,0.682560706401766,4.952696,0.22522522522522523,0.49019607843137253,0.308641975308642,153,0.6674786845310596,0.7762039660056658,0.7177472167648986,706,0.7857142857142857,0.6583011583011583,0.7163865546218486,518,0.8596750369276218,0.6554054054054054,0.7437699680511182,888,0.634523308099548,0.6450266520359005,0.6216364286866268,2265,0.7399959574084396,0.682560706401766,0.7000034102347688,2265,438025389,437945360,109485316
